ID,Name,"Full Name",Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
45717250,tensorflow,tensorflow/tensorflow,188252,74553,1167948,C++,master,"deep-learning, deep-neural-networks, distributed, machine-learning, ml, neural-network, python, tensorflow",7237,"Apache License 2.0",https://github.com/tensorflow/tensorflow,https://github.com/tensorflow,https://tensorflow.org,2015-11-07T01:19:20Z,2025-02-26T06:37:14Z
29028775,react-native,facebook/react-native,120753,24518,906713,C++,main,"android, app-framework, cross-platform, ios, mobile, mobile-development, react, react-native",895,"MIT License",https://github.com/facebook/react-native,https://github.com/facebook,https://reactnative.dev,2015-01-09T18:10:16Z,2025-02-26T04:45:18Z
9384267,electron,electron/electron,115613,15825,165737,C++,main,"c-plus-plus, chrome, css, electron, html, javascript, nodejs, v8, works-with-codespaces",946,"MIT License",https://github.com/electron/electron,https://github.com/electron,https://electronjs.org,2013-04-12T01:47:36Z,2025-02-26T05:59:16Z
100060912,terminal,microsoft/terminal,97158,8461,151772,C++,main,"cmd, command-line, console, contributions-welcome, good-first-issue, hacktoberfest, terminal, windows, windows-console, windows-terminal, wsl",1648,"MIT License",https://github.com/microsoft/terminal,https://github.com/microsoft,,2017-08-11T18:38:22Z,2025-02-26T05:30:43Z
15634981,godot,godotengine/godot,94480,21771,1507087,C++,master,"game-development, game-engine, gamedev, godot, godotengine, multi-platform, open-source",14768,"MIT License",https://github.com/godotengine/godot,https://github.com/godotengine,https://godotengine.org,2014-01-04T16:05:36Z,2025-02-26T06:54:39Z
1181927,bitcoin,bitcoin/bitcoin,82189,36838,276070,C++,master,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",667,"MIT License",https://github.com/bitcoin/bitcoin,https://github.com/bitcoin,https://bitcoincore.org/en/download,2010-12-19T15:16:43Z,2025-02-26T05:57:16Z
5108051,opencv,opencv/opencv,80764,56001,543562,C++,4.x,"c-plus-plus, computer-vision, deep-learning, image-processing, opencv",2716,"Apache License 2.0",https://github.com/opencv/opencv,https://github.com/opencv,https://opencv.org,2012-07-19T09:40:17Z,2025-02-26T06:15:06Z
612354784,llama.cpp,ggml-org/llama.cpp,75320,10884,95138,C++,master,"ggml, llama",731,"MIT License",https://github.com/ggml-org/llama.cpp,https://github.com/ggml-org,,2023-03-10T18:58:00Z,2025-02-26T06:55:02Z
619959033,gpt4all,nomic-ai/gpt4all,72614,7926,44706,C++,main,"ai-chat, llm-inference",674,"MIT License",https://github.com/nomic-ai/gpt4all,https://github.com/nomic-ai,https://nomic.ai/gpt4all,2023-03-27T18:49:32Z,2025-02-26T05:46:41Z
44838949,swift,swiftlang/swift,68168,10427,1227269,C++,main,,8027,"Apache License 2.0",https://github.com/swiftlang/swift,https://github.com/swiftlang,https://swift.org,2015-10-23T21:15:07Z,2025-02-26T06:39:09Z
23357588,protobuf,protocolbuffers/protobuf,66684,15622,181637,C++,main,"marshalling, protobuf, protobuf-runtime, protoc, protocol-buffers, protocol-compiler, rpc, serialization",259,Other,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers,http://protobuf.dev,2014-08-26T15:52:15Z,2025-02-26T06:23:02Z
22887094,tesseract,tesseract-ocr/tesseract,64850,9708,53535,C++,main,"hacktoberfest, lstm, machine-learning, ocr, ocr-engine, tesseract, tesseract-ocr",437,"Apache License 2.0",https://github.com/tesseract-ocr/tesseract,https://github.com/tesseract-ocr,https://tesseract-ocr.github.io/,2014-08-12T18:04:59Z,2025-02-26T06:15:09Z
22067521,imgui,ocornut/imgui,63416,10616,91398,C++,master,"api, cplusplus, framework, game-development, game-engine, gamedev, gui, imgui, immediate-gui, library, multi-platform, native, toolkit, tools, ui",1098,"MIT License",https://github.com/ocornut/imgui,https://github.com/ocornut,,2014-07-21T14:29:47Z,2025-02-26T06:31:07Z
67702184,Magisk,topjohnwu/Magisk,51113,13263,60499,C++,master,,39,"GNU General Public License v3.0",https://github.com/topjohnwu/Magisk,https://github.com/topjohnwu,,2016-09-08T12:42:53Z,2025-02-26T03:11:17Z
311683390,ImHex,WerWolv/ImHex,47227,2045,43484,C++,master,"analyzer, binary-analysis, c-plus-plus, cpp, cybersecurity, dark-mode, dear-imgui, disassembler, forensics, hacking, hacktoberfest, hex-editor, ips, mathematical-evaluator, multi-platform, pattern-language, preprocessor, reverse-engineering, static-analysis, windows",220,"GNU General Public License v2.0",https://github.com/WerWolv/ImHex,https://github.com/WerWolv,https://imhex.werwolv.net,2020-11-10T14:27:00Z,2025-02-26T06:28:04Z
33791743,x64dbg,x64dbg/x64dbg,45490,2499,61742,C++,development,"binary-analysis, ctf, cybersecurity, debugger, debugging, disassembler, dynamic-analysis, exploit-development, hacking, malware-analysis, offensive-security, oscp, program-analysis, reverse-engineering, security, security-tools, windows, x64, x86, x86-64",627,Other,https://github.com/x64dbg/x64dbg,https://github.com/x64dbg,http://x64dbg.com,2015-04-11T20:48:23Z,2025-02-26T05:27:12Z
11171548,json,nlohmann/json,44529,6874,205035,C++,develop,"bson, cbor, header-only, json, json-diff, json-merge-patch, json-parser, json-patch, json-pointer, json-serialization, messagepack, msgpack, rfc-6901, rfc-6902, rfc-7049, rfc-7159, rfc-8259, stl-containers, ubjson",112,"MIT License",https://github.com/nlohmann/json,https://github.com/nlohmann,https://json.nlohmann.me,2013-07-04T08:47:49Z,2025-02-26T06:43:57Z
27729880,grpc,grpc/grpc,42513,10666,549455,C++,master,,1045,"Apache License 2.0",https://github.com/grpc/grpc,https://github.com/grpc,https://grpc.io,2014-12-08T18:58:53Z,2025-02-26T06:52:40Z
196813750,CPlusPlusThings,Light-City/CPlusPlusThings,40280,8628,1322,C++,master,"cplusplus, cpp, cpp11, cpp14",11,,https://github.com/Light-City/CPlusPlusThings,https://github.com/Light-City,https://light-city.github.io/stories_things/,2019-07-14T08:45:45Z,2025-02-26T06:49:24Z
60246359,ClickHouse,ClickHouse/ClickHouse,39179,7123,1702915,C++,master,"ai, analytics, big-data, clickhouse, cloud-native, cpp, database, dbms, distributed, embedded, hacktoberfest, lakehouse, mpp, olap, rust, self-hosted, sql",4274,"Apache License 2.0",https://github.com/ClickHouse/ClickHouse,https://github.com/ClickHouse,https://clickhouse.com,2016-06-02T08:28:18Z,2025-02-26T06:05:29Z
541269386,whisper.cpp,ggerganov/whisper.cpp,38036,3949,18498,C++,master,"inference, openai, speech-recognition, speech-to-text, transformer, whisper",900,"MIT License",https://github.com/ggerganov/whisper.cpp,https://github.com/ggerganov,,2022-09-25T18:26:37Z,2025-02-26T04:53:05Z
98771110,TrafficMonitor,zhongyang219/TrafficMonitor,37346,3373,15953,C++,master,,1121,Other,https://github.com/zhongyang219/TrafficMonitor,https://github.com/zhongyang219,,2017-07-30T02:51:17Z,2025-02-26T06:40:24Z
23405758,leveldb,google/leveldb,37138,7933,1672,C++,main,,350,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/google/leveldb,https://github.com/google,,2014-08-27T21:17:52Z,2025-02-26T04:30:32Z
1116542,aria2,aria2/aria2,36772,3658,31500,C++,master,"bittorrent, cpp11, download, ftp, http, metalink, rpc, sftp",1101,"GNU General Public License v2.0",https://github.com/aria2/aria2,https://github.com/aria2,https://aria2.github.io/,2010-11-27T09:41:48Z,2025-02-26T06:48:44Z
39840932,googletest,google/googletest,35504,10278,13752,C++,main,,405,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/google/googletest,https://github.com/google,https://google.github.io/googletest/,2015-07-28T15:07:53Z,2025-02-26T05:31:23Z
120887835,interview,huihut/interview,35501,8023,5367,C++,master,"algorithm, c, cpp, data-structures, database, interview, interview-practice, interview-preparation, interview-questions, interviews, leetcode, operating-system, stl",26,Other,https://github.com/huihut/interview,https://github.com/huihut,https://interview.huihut.com,2018-02-09T09:49:48Z,2025-02-26T06:52:22Z
12791642,caffe,BVLC/caffe,34245,18649,76170,C++,master,"deep-learning, machine-learning, vision",1187,Other,https://github.com/BVLC/caffe,https://github.com/BVLC,http://caffe.berkeleyvision.org/,2013-09-12T18:39:48Z,2025-02-26T05:26:59Z
81227005,faiss,facebookresearch/faiss,33245,3765,244070,C++,main,,264,"MIT License",https://github.com/facebookresearch/faiss,https://github.com/facebookresearch,https://faiss.ai,2017-02-07T16:07:05Z,2025-02-26T06:29:19Z
